Player;Pos;Squad;Min;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Expected Assists;Shot-Created Actions;Completed Passes into Penalty Box;Passes Completed %;Key Passes;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Naouirou Ahamada;CM;Stuttgart;252;0.11;0.07;0;0.71;0;90;0.36;3.21;69.2;3.21;4.29
Matteo Ahlinvi;CM;Nîmes;899;0.16;0.14;0.03;1;0.2;79.2;0.4;1.8;75;1.8;5.9
Cheikh Ahmadou Dieng;FW;Marseille;129;0.14;0.16;0;0.71;0;75;0;0.71;100;1.43;1.43
Jean-Eudes Aholou;CM;Strasbourg;2146;0.08;0.06;0.05;1.05;0.29;84.1;0.29;0.97;62.2;0.97;5.13
Jean-Eudes Aholou;CM;Monaco;36;0.25;0.05;0;2.5;0;80;0;0;0;0;2.5
Joseph Aidoo;CB;Celta Vigo;1289;0.06;0.09;0.04;0.7;0.14;82.6;0.14;0.35;83.3;0.35;3.85
Ola Aina;FB;Fulham;2664;0.03;0.07;0.05;0.88;0.51;77.7;0.47;0.71;61.8;0.51;2.2
Rayan Aït Nouri;FB;Wolves;1404;0.04;0.04;0.19;3.81;1.9;91.3;1.9;2.37;60.7;1.35;4.62
Rayan Aït Nouri;FB;Angers;187;0.05;0.08;0.06;1.92;0.9;83.7;0.83;3.81;80;1.9;5.24
Semi Ajayi;CB;West Brom;2780;0.04;0.1;0.01;0.45;0.13;74.4;0.16;0.39;66.7;0.42;4.27
Ludovic Ajorque;FW;Strasbourg;2967;0.38;0.19;0.11;2.06;0.67;71.1;1.03;0.42;51.9;1.09;2.91
Manuel Akanji;CB;Dortmund;2350;0.07;0.09;0;0.57;0.15;92.9;0.08;0.5;86.7;0.23;3.79
Carlos Akapo;FB;Cádiz;865;0.04;0.19;0.03;0.52;0.52;66.8;0.21;1.04;83.3;0.52;3.23
Marley Aké;W;Marseille;146;0.69;0.27;0;0.63;0;80;0;2.5;57.1;5;1.25
Nathan Aké;CB;Manchester City;797;0.01;0.04;0;0.34;0.22;93;0.11;0;0;0.22;2.81
Paul Akouokou;CM;Betis;378;0;0;0.1;1.19;0.24;91.8;0.48;0.71;75;0.95;4.76
Jean-Daniel Akpa-Akpro;CM;Lazio;1056;0.08;0.07;0.08;1.62;0.68;81.4;1.03;1.71;74.1;1.45;9.32
Kevin Akpoguma;CB;Hoffenheim;1184;0.01;0.03;0.03;0.38;0.15;82.2;0.15;0.53;63.6;0.23;4.85
David Alaba;CB;Bayern Munich;2675;0.04;0.06;0.08;1.65;1.25;85.1;0.84;0.47;87.5;0.44;4.41
Sofiane Alakouch;FB;Nîmes;1505;0.01;0.04;0.07;0.96;0.66;79.6;0.3;1.32;64.7;1.26;5.21
Jony Álamo;CM;Elche;73;0;0.02;0;1.25;0;87.5;0;1.25;100;2.5;5
Lucas Alario;FW;Leverkusen;1245;0.36;0.14;0.05;1.96;0.29;76.1;0.87;1.45;76.9;1.59;3.62
Jordi Alba;FB;Barcelona;3025;0.07;0.09;0.22;2.56;2.44;85.5;1.52;0.51;45.9;0.42;2.89
Luis Alberto;CM;Lazio;2618;0.18;0.08;0.28;4.95;3.06;78.3;2.82;1.72;60.2;1.75;5.29
Raúl Albiol;CB;Villarreal;3115;0.02;0.08;0.03;0.4;0.14;89.4;0.12;0.14;55.6;0.09;2.28
