Player;Pos;Squad;Min;Expected Assists;Passes Completed %;Completed Passes into Final third;Yards Progressed From Passes;Shot-Created Dribbles;Successful Dribbles;Successful Dribbles %;Successful Pressures;Interceptions;Tackles Won;Fouls Made;Aerial Duels Won %
Cristian Battocchio;CM;Brest;355;0.05;80.4;4.1;183.3;0.26;1.03;80;2.56;0.77;0.77;0.26;25
Oliver Baumann;GK;Hoffenheim;2790;0;78.8;0.42;513.6;0;0;0;0.03;0;0;0;0
Julian Baumgartlinger;CM;Leverkusen;1072;0.03;86.7;4.54;200.8;0;0.59;100;6.97;1.43;2.35;0.92;65.8
Christoph Baumgartner;AM;Hoffenheim;2369;0.11;76;2.28;123.1;0.11;1.63;52.4;6.96;0.72;1.44;2.62;38
Jon Bautista;FW;Real Sociedad;370;0.05;61.8;0.73;36.3;0;0.49;50;5.12;0.49;1.22;2.68;45.8
Paul Baysse;CB;Bordeaux;2614;0.02;89.6;2.31;355;0;0.1;75;3.14;1.28;0.83;0.76;59.5
Noah Joel Sarenren Bazee;W;Augsburg;36;1.75;46.2;0;57.5;0;2.5;25;7.5;5;2.5;5;60
Ihlas Bebou;W;Hoffenheim;2200;0.2;75.8;1.07;65.5;0.33;2.09;65.4;4.75;0.53;0.82;1.07;40.8
Rodrigo Becão;CB;Udinese;2780;0.01;87.9;2.75;264.5;0;0.26;80;4.6;1.52;1.2;1.62;65.1
Sheraldo Becker;W;Union Berlin;1106;0.26;63.1;0.81;95.3;0.24;0.98;57.1;3.17;0.41;0.57;1.71;23.5
Timo Becker;CB;Schalke 04;1640;0.02;77.2;1.37;221.8;0;0.99;51.4;4.78;1.87;1.04;0.49;53.1
Jan Bednarek;CB;Southampton;3100;0.01;84.6;2.33;314.2;0;0.06;50;2.76;2.27;0.81;0.87;68.3
Donny van de Beek;CM;Manchester Utd;524;0.17;84.2;1.9;130.7;0.17;1.55;69.2;5.52;1.21;1.55;0.86;42.9
Valon Behrami;CM;Genoa;892;0.01;75.3;1.72;98.3;0;0.3;50;5.96;0.61;1.41;2.83;42.9
Brian Behrendt;CB;Arminia;79;0;73.2;4.44;344.4;1.11;1.11;100;3.33;0;1.11;1.11;40
Maximilian Beier;FW;Hoffenheim;10;0;100;0;40;0;0;0;20;0;0;10;0
Ishak Belfodil;FW;Hoffenheim;596;0.15;71.5;0.3;39.2;0;2.42;55.2;1.97;0;0.3;1.82;47.1
Erwan Belhadji;W;Dijon;30;0;85.7;3.33;143.3;0;3.33;100;10;0;0;0;0
Haris Belkebla;CM;Brest;2727;0.02;87.4;2.97;183.5;0.07;0.83;67.6;5.25;1.22;1.65;1.29;40
Stefan Bell;CB;Mainz 05;1266;0.09;78.7;1.06;215.9;0;0;0;4.04;2.7;1.21;1.91;73.6
Karim Bellarabi;W;Leverkusen;798;0.2;71.1;1.57;148.7;0.9;2.92;66.7;4.38;1.46;1.35;2.58;28.6
Jean-Ricner Bellegarde;W;Strasbourg;2086;0.07;77.8;1.94;89.7;0.26;2.16;61;5.43;0.78;1.85;1.42;35.8
Héctor Bellerín;FB;Arsenal;2089;0.1;82.9;2.63;221.9;0;0.69;51.6;2.67;0.56;0.78;0.91;47.8
Jude Bellingham;CM;Dortmund;1697;0.17;83.2;3.33;170.9;0.05;1.64;60.8;6.67;1.11;1.96;2.12;52.8
Andrea Belotti;FW;Torino;2888;0.21;69;1.06;52.2;0.4;1.59;54.3;3.12;0.25;0.81;1.81;39
Fran Beltrán;CM;Celta Vigo;1399;0.02;90.8;3.35;182;0.13;0.65;71.4;7.16;1.1;1.29;1.03;25
Sami Ben Amar;FW;Nîmes;7;0;66.7;0;190;0;0;0;0;0;0;0;100
Hatem Ben Arfa;AM;Bordeaux;1703;0.18;79.3;2.86;164.1;0.63;4.39;69.7;3.44;0.26;0.58;1.11;36.4
Salim Ben Seghir;W;Nice;7;0;100;10;600;0;10;100;0;0;0;0;0
Wissam Ben Yedder;FW;Monaco;2607;0.22;73.7;1.66;62.6;0.28;1.28;61.7;3.38;0.34;0.48;0.41;29.1
Ahmad Benali;CM;Crotone;1214;0.09;84.9;3.78;224.8;0.15;0.74;62.5;5.78;0.74;1.63;0.89;64.7
Samy Benchama;CM;Montpellier;42;0;80;0;84;0;0;0;6;0;2;6;0
Lars Bender;FB;Leverkusen;936;0.05;83.2;4.33;362.6;0.1;0.67;58.3;4.23;0.77;1.25;1.06;50
Sven Bender;CB;Leverkusen;1170;0.03;91.5;2.92;380.1;0;0.08;33.3;3.69;1.08;0.92;0.85;56.3
Darío Benedetto;FW;Marseille;1579;0.11;68;0.86;29.2;0.17;0.86;53.6;2.34;0.17;0.11;1.03;28.6
László Bénes;CM;Augsburg;660;0.08;65.9;1.64;142.6;0.14;0.41;42.9;5.07;1.23;0.68;1.64;46.2
László Bénes;CM;Mönchengladbach;150;0.24;72.7;1.76;227.6;0;0;0;2.94;2.35;1.18;0;0
Walter Benítez;GK;Nice;3420;0;80.8;0.11;342.6;0;0;0;0.05;0;0;0;0
Loris Benito;FB;Bordeaux;2651;0.05;84.8;2.92;342;0;0.2;60;3.12;1.36;1.12;1.36;59.7
Sergio Benito;FW;Valladolid;2;0;0;0;0;0;0;0;0;0;0;0;0
Bilal Benkhedim;AM;Saint-Étienne;73;0.25;67.3;1.25;81.3;0;2.5;100;11.3;0;0;1.25;0
Djamel Benlamri;CB;Lyon;149;0;92.2;5.88;298.2;0;0;0;4.12;3.53;2.35;1.18;66.7
Ismaël Bennacer;CM;Milan;1326;0.03;86.6;6.6;326.9;0.07;1.9;80;6.19;1.5;1.63;1.36;40.5
Saïd Benrahma;W;West Ham;1391;0.28;78;2.65;117.7;0.19;3.1;57.8;4.71;0.84;1.35;0.9;16.7
Yassine Benrahou;AM;Nîmes;1239;0.22;73.2;2.32;142.2;0.14;1.45;46.5;5.29;0.43;0.58;0.58;16.7
Ramy Bensebaini;FB;Mönchengladbach;1811;0.02;83.1;2.89;359.6;0.1;0.75;71.4;3.58;3.13;1.24;1.74;62.5
Josh Benson;CM;Burnley;264;0;72.9;1.38;111;0;1.72;62.5;4.14;0.34;1.72;1.38;20
Nabil Bentaleb;CM;Schalke 04;548;0.02;82.2;3.11;157.5;0;1.31;80;3.93;0.49;0.98;1.8;50
