Player;Pos;Squad;Min
Vlad Chiricheș;CB;Sassuolo;1837
Pedro Chirivella;CM;Nantes;2280
Tahith Chong;W;Werder Bremen;386
Joris Chotard;CM;Montpellier;1165
Hamza Choudhury;CM;Leicester City;316
Mounir Chouiar;W;Dijon;1288
Andreas Christensen;CB;Chelsea;1371
Carney Chukwuemeka;CM;Aston Villa;20
Samuel Chukwueze;W;Villarreal;1365
Darko Churlinov;W;Stuttgart;216
Víctor Chust;CB;Real Madrid;95
Sébastien Cibois;GK;Brest;270
Cifu;FB;Elche;451
Alberto Cifuentes;GK;Cádiz;180
Luca Cigarini;CM;Crotone;929
Jasper Cillessen;GK;Valencia;900
Antonio Cioffi;W;Napoli;12
Tim Civeja;CM;Augsburg;34
Ciaran Clark;CB;Newcastle Utd;1891
Alexis Claude-Maurice;AM;Nice;1910
Jonathan Clauss;FB;Lens;2521
Carlos Clerc;FB;Levante;2781
Nathaniel Clyne;FB;Crystal Palace;1145
Conor Coady;CB;Wolves;3303
Marcus Coco;W;Nantes;1474
Coke;FB;Levante;835
Séamus Coleman;FB;Everton;1613
Ebrima Colley;W;Hellas Verona;734
Omar Colley;CB;Sampdoria;2591
Simone Colombi;GK;Parma;180
Lorenzo Colombo;FW;Milan;94
Racine Coly;FB;Nice;17
Kingsley Coman;W;Bayern Munich;1752
Daniel Congré;CB;Montpellier;3292
Aaron Connolly;FW;Brighton;791
Andrea Consigli;GK;Sassuolo;3330
Andrea Conti;FB;Milan;28
Andrea Conti;FB;Parma;809
Liam Cooper;CB;Leeds United;2185
Francis Coquelin;CM;Villarreal;736
Theo Corbeanu;FW;Wolves;9
Sébastien Corchia;FB;Nantes;2066
Alex Cordaz;GK;Crotone;3240
Iñigo Córdoba;W;Athletic Club;95
Iñigo Córdoba;W;Alavés;216
Jhon Córdoba;FW;Hertha BSC;1537
Sergio Córdova;FW;Arminia;1090
Jack Cork;CM;Burnley;1350
Andreas Cornelius;FW;Parma;1898
Maxwel Cornet;FB;Lyon;2446
Ángel Correa;AM;Atlético Madrid;2393
Joaquín Correa;AM;Lazio;1933
Rober Correa;FB;Eibar;1136
Félix Correia;W;Juventus;7
Thierry Correia;FB;Valencia;2137
Angelo da Costa Júnior;GK;Bologna;540
Danny da Costa;FB;Mainz 05;1208
Danny da Costa;FB;Eintracht Frankfurt;110
David Pereira da Costa;AM;Lens;158
Diego Costa;FW;Atlético Madrid;208
Douglas Costa;W;Juventus;42
Douglas Costa;W;Bayern Munich;320
Hélder Costa;W;Leeds United;1156
Jaume Costa;FB;Villarreal;351
Charles Costes;W;Dijon;2
Benoît Costil;GK;Bordeaux;3420
Vladimír Coufal;FB;West Ham;3054
Kalifa Coulibaly;FW;Nantes;981
Lassana Coulibaly;CM;Angers;1687
