Player;Pos;Squad;Min
Matěj Vydra;FW;Burnley;1371
Franklin Wadja;CM;Lorient;33
Walace;CM;Udinese;2055
Theo Walcott;W;Southampton;1618
Theo Walcott;W;Everton;13
Kyle Walker;FB;Manchester City;1946
Kyle Walker-Peters;FB;Southampton;2645
Sebastian Walukiewicz;CB;Cagliari;1618
Silas Wamangituka;W;Stuttgart;1919
Aaron Wan-Bissaka;FB;Manchester Utd;3060
Joel Ward;FB;Crystal Palace;2256
James Ward-Prowse;CM;Southampton;3420
Daniel Wass;FB;Valencia;2979
Ollie Watkins;FW;Aston Villa;3328
Caleb Watts;CM;Southampton;39
Timothy Weah;FW;Lille;878
Adam Webster;CB;Brighton;2594
Wout Weghorst;FW;Wolfsburg;2941
Mitchell Weiser;FB;Leverkusen;226
Shon Weissman;FW;Valladolid;2133
Danny Welbeck;FW;Brighton;1545
Wendell;FB;Leverkusen;1457
Oscar Wendt;FB;Mönchengladbach;1254
Timo Werner;FW;Chelsea;2602
Ashley Westwood;CM;Burnley;3410
Ben White;CB;Brighton;3191
Georginio Wijnaldum;CM;Liverpool;2941
William;FB;Wolfsburg;2
William;FB;Schalke 04;474
Brandon Williams;FB;Manchester Utd;188
Iñaki Williams;FW;Athletic Club;2387
Neco Williams;FB;Liverpool;249
Nico Williams;W;Athletic Club;57
Rhys Williams;CB;Liverpool;661
Willian;W;Arsenal;1406
Joe Willock;CM;Arsenal;238
Joe Willock;CM;Newcastle Utd;978
Callum Wilson;FW;Newcastle Utd;2084
Marten Winkler;FW;Hertha BSC;1
Harry Winks;CM;Tottenham;861
Florian Wirtz;AM;Leverkusen;2224
Yoane Wissa;W;Lorient;2674
Axel Witsel;CM;Dortmund;1130
Hannes Wolf;AM;Mönchengladbach;1378
Marius Wolf;W;Köln;2551
Nick Woltemade;AM;Werder Bremen;147
Jeong Woo-yeong;W;Freiburg;823
Chris Wood;FW;Burnley;2741
Joscha Wosz;AM;RB Leipzig;34
Xeka;CM;Lille;1200
Granit Xhaka;CM;Arsenal;2522
Reinhold Yabo;CM;Arminia;647
Jawad El Yamiq;CB;Valladolid;1379
Rubén Yáñez;GK;Getafe;900
Andriy Yarmolenko;W;West Ham;375
Yusuf Yazıcı;AM;Lille;1086
DeAndre Yedlin;FB;Newcastle Utd;436
Burak Yılmaz;FW;Lille;2051
Yoel;GK;Eibar;300
Okay Yokuşlu;CM;West Brom;1317
Okay Yokuşlu;CM;Celta Vigo;462
Maya Yoshida;CB;Sampdoria;2274
Amin Younes;AM;Eintracht Frankfurt;1391
Ashley Young;W;Inter;1425
Wilitty Younoussa;CM;Dijon;77
Zaydou Youssouf;CM;Saint-Étienne;1229
Mattia Zaccagni;AM;Hellas Verona;2609
Dan-Axel Zagadou;CB;Dortmund;276
Vasilios Zagaritis;FB;Parma;65
Arthur Zagre;FB;Dijon;122
Wilfried Zaha;W;Crystal Palace;2612
Miha Zajc;CM;Genoa;1863
Denis Zakaria;CM;Mönchengladbach;1419
Joseba Zaldúa;FB;Real Sociedad;639
Nicola Zalewski;AM;Roma;11
Andre-Frank Zambo Anguissa;CM;Fulham;2587
Niccolò Zanellato;CM;Crotone;1637
Cristián Zapata;CB;Genoa;968
Duván Zapata;FW;Atalanta;2379
Gabriele Zappa;FB;Cagliari;2395
Davide Zappacosta;W;Genoa;2045
Oier Zarraga;CM;Athletic Club;100
Simone Zaza;FW;Torino;1491
Deyovaisio Zeefuik;FB;Hertha BSC;905
Marvin Zeegelaar;FB;Udinese;1740
Arber Zeneli;W;Reims;1289
Robin Zentner;GK;Mainz 05;2790
Andi Zeqiri;FW;Brighton;171
Mehdi Zerkane;W;Bordeaux;1187
Ron-Robert Zieler;GK;Köln;51
Piotr Zieliński;CM;Napoli;2523
Oleksandr Zinchenko;FB;Manchester City;1478
Joshua Zirkzee;FW;Parma;113
Joshua Zirkzee;FW;Bayern Munich;92
Hakim Ziyech;AM;Chelsea;1172
Jeroen Zoet;GK;Spezia;603
Kévin Zohi;FW;Strasbourg;436
Kurt Zouma;CB;Chelsea;2029
Igor Zubeldia;CM;Real Sociedad;1959
Steven Zuber;W;Eintracht Frankfurt;585
Martín Zubimendi;CM;Real Sociedad;1882
Martin Ødegaard;AM;Arsenal;866
Martin Ødegaard;AM;Real Madrid;234
Filip Đuričić;AM;Sassuolo;2078
