Player;Pos;Squad;Min;Goals;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Aerial Duels Won;Aerial Duels Won %;Touches Inside Opposition's Penalty Box;Expected Assists;Completed Passes into Penalty Box;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Christian Eriksen;AM;Inter;1385;0.19;0.11;0.06;0.78;70.6;1.82;0.17;1.43;0.65;76.9;1.3;3.31
Martin Erlic;CB;Spezia;1798;0.15;0.07;0.14;2.5;58.1;0.75;0.03;0;0.2;66.7;0.3;4.15
Patrick Erras;CM;Werder Bremen;26;0;0;0;23.3;58.3;3.33;0;3.33;0;0;0;10
Gonzalo Escalante;CM;Lazio;733;0;0.07;0.09;1.98;47.1;0.37;0;0.49;0.99;88.9;0.62;7.65
Aarón Escandell;GK;Granada;450;0;0;0;0;0;0;0;0;0;0;0;0.2
Dani Escriche;FW;Huesca;857;0.11;0.15;0.14;1.79;34;2.84;0.14;0.21;1.89;38.3;2.11;3.26
Sergio Escudero;FB;Sevilla;565;0.16;0.03;0.03;1.9;66.7;1.43;0.08;1.9;0.32;50;0.79;3.81
Alfonso Espino;FB;Cádiz;2601;0;0.01;0.03;1.31;46.9;0.55;0.04;0.45;0.55;42.1;0.66;4.84
Vicente Esquerdo;AM;Valencia;231;0;0;0.02;0.77;40;0;0.04;0.38;0.77;50;0.77;8.08
Nahuel Estévez;CM;Spezia;1768;0;0.09;0.07;0.77;39.5;1.79;0.1;1.33;0.51;62.5;0.97;4.29
Pervis Estupiñán;FB;Villarreal;1168;0;0.04;0.05;0.85;42.3;2.85;0.1;1.69;1.08;60.9;2.08;5.38
Yoann Etienne;FB;Lorient;90;0;0;0;1;25;0;0.1;0;0;0;0;5
Xabier Etxeita;CB;Getafe;883;0;0.05;0.13;1.84;42.9;0.82;0.02;0;0.2;100;0.1;2.96
Jonny Evans;CB;Leicester City;2473;0.07;0.06;0.21;3.38;71;0.65;0.01;0.11;0.22;100;0.22;2.4
Edu Expósito;CM;Eibar;2455;0;0.07;0.04;1.32;46.2;1.94;0.1;0.7;1.54;67.7;1.32;5.49
Valentin Eysseric;AM;Fiorentina;729;0.25;0.27;0.17;0.99;44.4;2.1;0.06;1.11;0.49;36.4;1.11;4.07
Eberechi Eze;AM;Crystal Palace;2559;0.14;0.08;0.06;0.42;27.3;1.83;0.1;1.13;2.43;63.9;1.9;3.24
