Player;Pos;Squad;Min;Goals;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Aerial Duels Won;Aerial Duels Won %;Touches Inside Opposition's Penalty Box;Expected Assists;Completed Passes into Penalty Box;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Panagiotis Retsos;CB;Saint-Étienne;272;0;0;0.02;5;68.2;0.67;0.03;0.33;1.33;100;0.33;5
Marco Reus;AM;Dortmund;2279;0.32;0.29;0.14;0.55;32.6;6.64;0.32;1.7;1.62;54.7;1.11;6.28
Elvis Rexhbeçaj;CM;Köln;1833;0.25;0.1;0.08;0.49;19.6;1.27;0.11;0.69;0.64;43.3;1.62;6.76
Oriol Rey;CM;Valladolid;15;0;0;0;0;0;0;0;0;0;0;0;15
Gio Reyna;AM;Dortmund;1976;0.18;0.2;0.12;1.05;31.9;5.5;0.2;1.41;2.23;56.3;2.77;5.23
Baptiste Reynet;GK;Nîmes;3420;0;0;0.04;0.03;100;0.05;0.02;0.03;0.03;100;0;0.05
Bryan Reynolds;FB;Roma;283;0;0;0;0.97;42.9;0.97;0;0.65;0.97;50;1.61;6.45
Franck Ribéry;W;Fiorentina;2149;0.08;0.13;0.14;0.21;14.7;4.27;0.19;1.46;2.55;62.9;4.31;4.9
Ricard;FB;Atlético Madrid;30;0;0;0.02;0;0;3.33;0;6.67;0;0;0;13.3
Federico Ricci;W;Sassuolo;4;0;0;0;0;0;0;0;0;0;0;0;1
Giacomo Ricci;FB;Parma;67;0;0;0;1.43;33.3;1.43;0;1.43;0;0;2.86;2.86
Matteo Ricci;CM;Spezia;2229;0;0.04;0.04;0.85;56.8;0.56;0.06;0.97;0.36;60;0.48;4.11
Declan Rice;CM;West Ham;2879;0.06;0.05;0.07;1.47;61.8;1.25;0.07;0.66;1.03;89.2;0.66;4.66
Chris Richards;CB;Hoffenheim;944;0;0.02;0.08;2.38;52.1;0.57;0.03;0.29;0.29;75;0.38;5.33
Chris Richards;CB;Bayern Munich;89;0;0;0;2;40;0;0.3;5;0;0;2;2
Lewis Richardson;AM;Burnley;4;0;0;0;0;0;0;0;0;0;0;2;2
Richarlison;FW;Everton;2861;0.22;0.34;0.13;1.32;34.1;4.91;0.1;0.44;1.95;55.9;2.11;4.53
Marco Richter;W;Augsburg;1416;0.19;0.31;0.09;1.02;30.2;3.89;0.1;0.76;2.87;57;2.36;3.5
Mikel Rico;CM;Huesca;2183;0.04;0.09;0.12;0.58;33.3;1.98;0.06;0.53;1.19;64.4;1.52;3.87
Sergio Rico;GK;Paris Saint-Germain;810;0;0;0;0;0;0;0;0;0;0;0;0
Jaïro Riedewald;CM;Crystal Palace;1820;0.1;0.03;0.08;0.69;48.3;0.74;0.05;0.4;0.59;54.5;0.54;4.21
Emiliano Rigoni;W;Elche;1139;0.08;0.2;0.15;0.47;33.3;1.73;0.15;0.47;1.42;47.4;1.42;2.6
Tomás Rincón;CM;Torino;2846;0.03;0.05;0.07;1.42;52.3;1.11;0.06;0.51;0.92;70.7;1.01;5.51
Luis Rioja;W;Alavés;2090;0.17;0.15;0.14;0.86;36.4;2.63;0.14;0.73;1.85;59.7;1.64;3.32
Renaud Ripart;W;Nîmes;3054;0.32;0.13;0.07;2.3;48.1;2.83;0.04;0.62;1.18;47.1;1.65;5.84
Andrea Rispoli;W;Crotone;652;0;0.06;0.09;0.83;50;1.67;0.08;0.97;0.56;50;0.97;3.19
Mihailo Ristić;W;Montpellier;2236;0;0.03;0.03;1.17;58;0.65;0.06;1.49;0.77;47.5;1.21;3.67
Matt Ritchie;FB;Newcastle Utd;1350;0;0.03;0.04;1;40.5;0.87;0.1;1.2;0.4;75;0.6;2.13
Maxence Rivera;W;Saint-Étienne;239;0;0.04;0.05;0;0;0.74;0.04;0.37;1.85;35.7;1.85;8.52
Emmanuel Rivière;FW;Crotone;640;0.14;0.15;0.1;1.55;28.2;3.1;0.08;0.14;0.28;33.3;1.13;2.96
Rober;CB;Levante;1425;0;0.01;0.03;1.46;39.7;0.57;0.04;0.06;0.38;100;0.32;3.92
Roberto;GK;Valladolid;1170;0;0;0;0;0;0;0;0;0;0;0;0
Sergi Roberto;FB;Barcelona;946;0.1;0.05;0.11;0.76;44.4;2.48;0.19;1.71;0.76;88.9;0.38;2.1
Tyler Roberts;AM;Leeds United;1340;0.07;0.14;0.08;1.34;45.5;3.22;0.12;1.48;1.14;63;1.28;4.3
Andrew Robertson;FB;Liverpool;3383;0.03;0.04;0.07;1.04;59.1;2.79;0.18;1.76;0.77;54.7;0.53;3.19
Antonee Robinson;FB;Fulham;2162;0;0.02;0.05;1.63;58.2;1.42;0.07;1.79;2;70.6;1;3.5
Callum Robinson;FW;West Brom;1560;0.29;0.18;0.1;0.75;20.6;2.95;0.05;0.69;1.33;62.2;1.85;3.53
Jack Robinson;FB;Sheffield Utd;877;0;0.04;0.08;2.89;53.8;0.72;0.09;0.1;0.31;75;0.41;2.58
Joel Robles;GK;Betis;1620;0;0;0;0;0;0;0;0;0;0;0;0
Hal Robson-Kanu;FW;West Brom;561;0.32;0.24;0.11;1.13;19.4;2.58;0.06;0.32;0.97;37.5;3.23;2.26
Marc Roca;CM;Bayern Munich;177;0;0.15;0.09;0.5;33.3;1.5;0;1.5;2.5;100;1.5;6.5
Christopher Rocchia;FB;Marseille;22;0;0;0;0;0;0;0;0;0;0;5;10
Rubén Rochina;W;Levante;1404;0;0.11;0.05;1.41;62.9;1.41;0.13;1.86;2.63;78.8;2.31;6.54
Marek Rodák;GK;Fulham;180;0;0;0;0;0;0;0;0;0;0;0;0
Sebastian Rode;CM;Eintracht Frankfurt;1625;0.06;0.01;0.03;1.44;55.3;0.72;0.07;1.05;0.39;77.8;0.39;6.24
Joe Rodon;CB;Tottenham;733;0;0;0;2.96;68.6;0.12;0;0;0;0;0;2.47
Rodri;CM;Manchester City;2748;0.07;0.06;0.06;2.98;76.5;1.7;0.06;0.56;0.95;82.9;0.72;6.46
Rodrigo;AM;Leeds United;1288;0.49;0.44;0.13;1.75;42.4;5.31;0.17;1.4;1.26;62.1;1.54;4.62
Rodrigo;AM;Betis;537;0;0.03;0.05;0.17;11.1;2.83;0.08;1.67;1.17;63.6;2.33;3.5
Kévin Rodrigues;FB;Eibar;1095;0.08;0.05;0.07;1.07;26.5;0.98;0.06;0.98;1.15;51.9;2.46;4.1
Óscar Rodríguez Arnaiz;AM;Sevilla;511;0;0.09;0.05;1.23;46.7;4.21;0.16;1.75;1.75;50;2.11;5.61
Ángel Rodríguez;FW;Getafe;1374;0.33;0.26;0.11;1.7;25.2;4.38;0.03;0.46;0.59;31;2.03;3.4
Guido Rodríguez;CM;Betis;2864;0.03;0.05;0.06;1.79;58.2;0.91;0.02;0.28;0.88;84.8;0.75;6.98
James Rodríguez;AM;Everton;1764;0.31;0.17;0.09;0.26;25;1.79;0.28;2.09;1.48;63;1.94;3.11
Jay Rodriguez;FW;Burnley;1265;0.07;0.16;0.08;3.19;34.4;3.83;0.12;0.5;1.06;48.4;1.63;4.75
Miguel Rodríguez;W;Celta Vigo;30;0;0;0;0;0;3.33;0;0;3.33;100;0;10
Ricardo Rodríguez;FB;Torino;1238;0;0.04;0.04;1.3;58.1;0.36;0.02;0.51;0.58;61.5;0.36;3.19
Víctor Rodríguez;W;Elche;426;0;0;0;1.06;55.6;0.43;0.13;0.43;0.43;40;0.85;5.11
Rodrygo;W;Real Madrid;983;0.09;0.23;0.1;0.83;39.1;5.6;0.28;1.56;1.74;44.2;1.83;4.5
Marko Rog;CM;Cagliari;1165;0;0.02;0.04;0.62;36.4;0.62;0.05;0.54;1.63;87.5;1.4;6.98
Rogério;FB;Sassuolo;1877;0;0.03;0.03;0.91;57.6;1.87;0.07;0.86;1.15;54.5;0.96;3.54
Luis Rojas;AM;Crotone;104;0;0;0.04;1.67;100;0.83;0;0;5.83;50;3.33;5
Alessio Romagnoli;CB;Milan;1907;0.05;0.11;0.15;2.74;69.9;0.94;0.02;0.14;0;0;0;2.45
Cristian Romero;CB;Atalanta;2545;0.07;0.06;0.13;3.96;67.5;1.06;0.04;0.25;0.35;66.7;0.42;6.11
Oriol Romeu;CM;Southampton;1763;0.05;0.02;0.03;1.79;55.6;0.51;0.06;0.77;0.56;84.6;1.12;5.31
Cristiano Ronaldo;FW;Juventus;2802;0.93;0.66;0.13;0.93;58;6.85;0.09;1.03;1.86;64.4;1.45;1.96
Facundo Roncaglia;FB;Osasuna;1232;0.07;0.04;0.04;2.55;61.4;0.66;0.01;0.29;0.22;50;0.44;3.94
Valentin Rongier;CM;Marseille;1887;0.05;0.05;0.06;1.24;49.1;0.86;0.05;0.43;1.1;67.6;0.9;8.24
Marten de Roon;CM;Atalanta;3021;0.03;0.02;0.04;2.2;60.7;0.54;0.06;0.68;0.42;66.7;0.36;6.88
Jérôme Roussillon;FB;Wolfsburg;1229;0;0.04;0.05;0.88;37.5;2.04;0.11;0.8;0.88;54.5;1.82;5.11
Nolan Roux;FW;Nîmes;651;0;0.07;0.05;1.25;22.5;1.94;0.04;0.69;0.42;100;1.67;3.89
Nicolò Rovella;CM;Genoa;1187;0;0.05;0.06;0.38;27.8;0.38;0.11;0.91;0.68;75;0.61;5.15
Amir Rrahmani;CB;Napoli;1094;0.08;0.05;0.12;2.3;63.6;0.66;0;0;0.25;100;0;3.61
Rubén;GK;Osasuna;187;0;0;0;0;0;0;0;0;0;0;0;0
Waldo Rubio;W;Valladolid;375;0.24;0.07;0.03;0;0;2.14;0.02;0.71;1.19;45.5;1.67;5.48
John Ruddy;GK;Wolves;91;0;0;0;0;0;0;0;0;0;0;0;0
Antonio Rüdiger;CB;Chelsea;1710;0.05;0.06;0.08;2.63;75.8;1;0.02;0.21;0.16;50;0;3.47
Sebastian Rudy;CM;Hoffenheim;1678;0.05;0.03;0.04;0.86;42.1;1.88;0.12;1.29;0.48;50;0.86;6.56
Sebastian Rudy;CM;Schalke 04;180;0;0;0.01;2.5;71.4;0;0.05;2.5;0.5;100;0.5;4.5
Kevin Rüegg;FB;Hellas Verona;205;0;0;0.03;0.87;28.6;1.3;0;0.43;1.74;100;0.87;5.22
Daniele Rugani;CB;Cagliari;1001;0.09;0.04;0.13;5;62.5;0.9;0;0;0.27;100;0.54;4.86
Daniele Rugani;CB;Rennes;90;0;0;0.04;3.78;68.9;1;0.04;0.18;1;100;0;3
Matteo Ruggeri;FB;Atalanta;208;0;0;0.03;1.74;66.7;0.87;0;0;0.43;50;0;2.61
Mário Rui;FB;Napoli;1669;0;0.04;0.04;0.59;45.8;1.41;0.11;1.35;0.81;65.2;0.54;3.24
Aitor Ruibal;W;Betis;1593;0.11;0.15;0.08;0.85;42.9;4.07;0.14;1.24;2.09;55.2;2.54;5.54
Fabián Ruiz Peña;CM;Napoli;2569;0.11;0.09;0.06;0.42;54.5;1.68;0.1;1.37;0.7;64.5;0.63;4.95
Isma Ruiz;CM;Granada;67;0;0;0;1.43;20;1.43;0;0;0;0;1.43;2.86
Kays Ruiz;CM;Paris Saint-Germain;186;0;0.05;0.03;0.48;25;1.9;0;1.43;2.38;50;1.9;5.24
Víctor Ruiz;CB;Betis;2157;0.08;0.05;0.29;2.83;64.2;0.29;0;0.17;0.17;100;0.29;2.04
Gerónimo Rulli;GK;Villarreal;180;0;0;0;0;0;0;0;0;0;0;0;0
Georginio Rutter;FW;Rennes;44;0;0;0;4.07;50;6;0.07;1.11;0;0;4;8
Georginio Rutter;FW;Hoffenheim;241;0.37;0.15;0.06;4;50;5.56;0.2;0;2.96;57.1;4.07;5.56
Mathew Ryan;GK;Arsenal;270;0;0;0;0;0;0.33;0;0;0;0;0;0
Mathew Ryan;GK;Brighton;990;0;0;0;0;0;0;0;0;0;0;0;0
Julian Ryerson;FB;Union Berlin;1069;0;0.02;0.03;1.26;35.7;0.76;0.11;0.5;1.01;70.6;1.68;4.79
Frederik Rønnow;GK;Schalke 04;945;0;0;0;0;0;0;0;0;0;0;0;0
João Victor Santos Sá;W;Wolfsburg;469;0.19;0.1;0.05;1.54;33.3;6.35;0.19;0.77;2.31;80;2.88;7.88
Roli Pereira de Sa;AM;Nantes;56;0;0.33;0.05;0;0;3.33;0;1.67;6.67;80;0;11.7
Idriss Saadi;FW;Strasbourg;125;0;0.93;0.26;4.29;54.5;9.29;0.14;0;1.43;66.7;1.43;7.14
Youssouf Sabaly;FB;Bordeaux;2909;0.03;0.02;0.06;0.96;53.4;0.8;0.05;0.87;1.39;57;1.11;2.97
Mathys Saban;CM;Saint-Étienne;13;0;0;0;0;0;0;0;0;0;0;10;10
Marcel Sabitzer;CM;RB Leipzig;2026;0.36;0.19;0.07;0.93;50;2.13;0.1;2.13;0.71;66.7;1.47;4.53
Alexis Saelemaekers;W;Milan;2016;0.09;0.13;0.1;0.31;21.9;2.72;0.13;0.94;1.96;66.7;1.34;7.1
Modibo Sagnan;CB;Real Sociedad;622;0;0.09;0.12;2.32;53.3;1.01;0.03;0.29;0.29;66.7;0.72;3.77
Allan Saint-Maximin;W;Newcastle Utd;1560;0.17;0.15;0.09;0.29;27.8;3.82;0.19;0.58;4.8;67.5;3.47;3.01
Borja Sainz;W;Alavés;453;0.2;0.22;0.14;0.6;20;3.8;0.08;0.6;1.6;33.3;3.4;8.4
Romain Saïss;CB;Wolves;2407;0.11;0.13;0.12;3.33;62.7;1.35;0.01;0.3;0.3;57.1;0.11;3
Bukayo Saka;W;Arsenal;2553;0.18;0.24;0.11;0.53;25.9;5.46;0.17;1.02;1.48;52.5;2.32;3.91
Hiroki Sakai;FB;Marseille;2385;0;0.01;0.1;1.81;56.5;1.13;0.05;0.45;0.45;52.2;0.83;4.64
Moïse Sakava;AM;Reims;8;0;0;0.03;0;0;0;0;0;0;0;0;0
Mamadou Sakho;CB;Crystal Palace;276;0;0;0.02;1.61;38.5;0.65;0;0;0;0;0.32;1.94
Jacopo Sala;FB;Spezia;375;0;0;0;0.71;37.5;0.48;0.12;1.19;0.71;50;0.48;3.57
Mohamed Salah;W;Liverpool;3078;0.64;0.48;0.14;0.61;28.8;9.15;0.18;2.16;1.46;50.5;2.69;4.5
Eddy Salcedo;FW;Hellas Verona;755;0.24;0.33;0.13;3.69;32.6;4.4;0.06;1.07;1.19;58.8;2.5;4.29
William Saliba;CB;Nice;1800;0.05;0.03;0.1;1.75;61.4;0.4;0;0.1;0.45;81.8;0.2;2.2
Romain Salin;GK;Rennes;1350;0;0;0;0;0;0;0;0;0;0;0;0.07
Mohammed Salisu;CB;Southampton;844;0;0.04;0.1;2.77;59.1;0.74;0;0;0.96;90;1.38;6.49
Roland Sallai;W;Freiburg;1661;0.43;0.33;0.13;2.05;40;3.3;0.07;0.97;0.86;32.7;1.24;3.68
Salvi;W;Cádiz;1933;0.09;0.09;0.12;0.84;33.3;1.35;0.06;1.02;0.42;36;1.35;3.91
Lazar Samardzic;AM;RB Leipzig;200;0;0;0.03;0.45;50;2.27;0.23;0.45;2.73;54.5;0.91;10.9
Diadie Samassékou;CM;Hoffenheim;2563;0;0.02;0.04;1.75;45.9;0.42;0.04;0.28;0.98;70;0.81;5.37
Mama Samba Baldé;W;Dijon;2161;0.29;0.32;0.13;2.79;37.4;5.08;0.03;0.25;1.17;45.9;2.58;4.13
Junior Sambia;FB;Montpellier;2448;0.04;0.04;0.06;1.36;46.3;1.25;0.09;1.43;1.51;48.8;1.69;3.49
Frédéric Sammaritano;AM;Dijon;1130;0;0.1;0.12;0.24;15;2.14;0.17;0.79;1.11;73.7;2.14;4.05
Fede San Emeterio;CM;Valladolid;1460;0;0.01;0.03;1.73;37.3;0.25;0.01;0.12;0.19;100;0.25;5.12
Antonio Sanabria;FW;Torino;978;0.46;0.28;0.16;2.48;36.5;3.85;0.08;0.64;0.83;47.4;1.83;3.3
Antonio Sanabria;FW;Betis;932;0.29;0.41;0.18;3.46;49.3;3.75;0.03;0.19;0.87;69.2;1.35;2.88
Oihan Sancet;AM;Athletic Club;1035;0.17;0.25;0.16;1.3;36.6;3.22;0.1;0.7;1.39;61.5;1.91;4.87
Renato Sanches;CM;Lille;1270;0.07;0.16;0.11;0.5;25;1.7;0.11;0.78;2.7;65.5;2.2;4.61
Juan Sánchez Miño;FB;Elche;495;0;0;0;0.73;44.4;0.18;0;0.36;1.27;63.6;0.91;2.18
Alexis Sánchez;FW;Inter;1146;0.55;0.38;0.17;1.02;54.2;6.61;0.46;2.44;2.2;68.3;2.83;4.96
Davinson Sánchez;CB;Tottenham;1486;0;0.07;0.18;3.03;62.5;0.36;0;0.06;0;0;0.24;2.97
Germán Sánchez;CB;Granada;2638;0.1;0.06;0.14;2.97;52.4;0.55;0;0.14;0.1;100;0.1;1.98
Javi Sánchez;CB;Valladolid;921;0;0.02;0.05;1.76;50;0.29;0.01;0.2;0.2;100;0;2.35
Manuel Sánchez;FB;Osasuna;976;0;0.01;0.04;0.74;34.8;1.67;0.08;1.39;0.74;53.3;0.56;5.93
Manuel Sánchez;FB;Atlético Madrid;49;0;0;0;0;0;2;0.6;0;0;0;0;0
Robert Sánchez;GK;Brighton;2430;0;0;0;0.04;50;0.04;0;0;0;0;0.04;0
Jadon Sancho;W;Dortmund;2062;0.35;0.29;0.13;0.22;18.5;5.85;0.3;3.58;3.97;55.8;1.79;4.06
Alex Sandro;FB;Juventus;1858;0.1;0.06;0.08;1.84;58.5;1.99;0.08;1.21;0.78;76.2;0.92;3.69
Leroy Sané;W;Bayern Munich;1805;0.3;0.28;0.1;0.4;29.6;6.52;0.32;1.84;3.68;60.7;2.64;6.97
Salif Sané;CB;Schalke 04;1071;0;0.03;0.05;6.13;80.2;1.26;0.03;0.42;0.59;77.8;0.17;3.03
Oier Sanjurjo;CM;Osasuna;2084;0;0.04;0.06;3.15;52.1;1.12;0.08;0.65;0.3;53.8;0.69;5.52
Mohamed Sankoh;FW;Stuttgart;17;0;0;0.04;0;0;5;0;0;0;0;0;0
Siriki Sanogo;CM;Benevento;10;0;0;0;0;0;0;0;0;0;0;0;0
Morgan Sanson;CM;Aston Villa;294;0;0;0.01;0.98;40.9;0.91;0.23;0.54;1.21;80;2.73;10.3
Morgan Sanson;CM;Marseille;826;0.22;0.13;0.11;1.52;55.6;1.96;0.03;0.3;0.87;53.3;2.5;8.26
Nicola Sansone;W;Bologna;1169;0.15;0.29;0.12;0.46;19.4;4.46;0.18;1.08;2;56.5;2.46;5.38
Baptiste Santamaria;CM;Angers;270;0;0.1;0.06;1.67;62.5;1;0.03;1.33;0.33;100;1.33;8
Baptiste Santamaria;CM;Freiburg;2209;0.04;0.08;0.06;2.29;58.9;1.88;0.06;0.45;0.9;57.9;1.59;5.84
Federico Santander;FW;Bologna;37;0;0.5;0.05;5;50;25;0.75;0;0;0;2.5;12.5
Davide Santon;FB;Roma;586;0;0.03;0.05;0.62;57.1;2.15;0.12;1.08;0.92;75;0.31;2.77
Samir Santos;CB;Udinese;2216;0.04;0.05;0.11;2.2;62.1;1.02;0.02;0.2;0.24;85.7;0.73;2.97
Riccardo Saponara;AM;Fiorentina;52;0;0;0;1.67;50;1.67;0.17;0;0;0;3.33;3.33
Riccardo Saponara;AM;Spezia;389;0.47;0.23;0.1;1.63;53.8;4.88;0.14;1.86;1.86;66.7;0.7;1.4
Ivan Šaponjić;FW;Cádiz;388;0.23;0.21;0.09;4.65;40;3.72;0;0.7;0.47;28.6;1.63;2.56
Pablo Sarabia;W;Paris Saint-Germain;1320;0.41;0.33;0.13;0.27;28.6;5.78;0.37;2.04;0.75;50;1.16;4.29
Josh Sargent;FW;Werder Bremen;2506;0.18;0.19;0.11;2.52;38.9;3.42;0.14;0.4;1.01;59.6;1.44;5.68
Bouna Sarr;FB;Marseille;76;0;0;0.02;1.6;53.3;1.25;0.02;0.8;2.5;50;1.25;7.5
Bouna Sarr;FB;Bayern Munich;452;0;0.02;0.03;1.25;25;1.2;0;0;2.8;82.4;1.4;3.8
Sidy Sarr;CM;Nîmes;463;0;0.08;0.04;4.71;70.6;1.37;0.1;0.59;0.98;100;0.59;4.12
Marco Sau;FW;Benevento;785;0.46;0.18;0.16;0.92;30.8;4.6;0.15;0.92;0.8;77.8;2.18;2.41
Téji Savanier;CM;Montpellier;2165;0.21;0.11;0.05;1.08;55.3;1.87;0.24;1.16;2.57;72.9;2.24;6.6
Stefan Savić;CB;Atlético Madrid;2953;0.03;0.03;0.13;3.05;68;0.4;0.01;0.15;0.18;85.7;0.09;2.99
Romaine Sawyers;CM;West Brom;1487;0;0.01;0.04;0.79;68.4;0.12;0.02;0.3;0.55;47.4;1.03;4.91
Gianluca Scamacca;FW;Genoa;1352;0.53;0.39;0.13;2.87;47.3;4.27;0.11;0.33;0.93;60.9;2.2;3.93
Dane Scarlett;FW;Tottenham;1;0;0;0;0;0;0;0;0;0;0;0;1
Fabian Schär;CB;Newcastle Utd;1246;0.07;0.03;0.04;1.45;44.4;0.8;0;0.87;0.51;53.8;0.43;2.39
Aurélien Scheidler;FW;Dijon;342;0.26;0.13;0.08;2.63;30.3;2.11;0.08;0.53;0.26;25;1.58;1.05
Nicolás Schiappacasse;W;Sassuolo;15;0;0;0;0;0;0;0;0;0;0;0;10
Pasquale Schiattarella;CM;Benevento;2247;0.04;0.04;0.12;0.48;60;0.36;0.11;1.12;0.52;72.2;0.52;4.24
Patrik Schick;FW;Leverkusen;1866;0.43;0.47;0.17;3.86;50.6;5.7;0.11;0.1;1.21;65.8;1.4;2.9
Sven Schipplock;FW;Arminia;744;0.12;0.13;0.08;2.77;41.1;3.25;0.11;0;1.08;60;1.69;9.4
Xaver Schlager;CM;Wolfsburg;2626;0.07;0.1;0.06;1.75;52.6;1.2;0.11;0.82;0.89;78.8;1.61;7.33
Keven Schlotterbeck;CB;Freiburg;1654;0;0.03;0.07;3.15;61.1;0.76;0.01;0.16;0.22;80;0.11;2.99
Nico Schlotterbeck;CB;Union Berlin;1285;0.07;0.09;0.06;3.01;58.9;1.68;0.01;0.14;0.63;69.2;0.35;4.41
Jeffrey Schlupp;W;Crystal Palace;1428;0.13;0.1;0.09;2.01;42.7;3.4;0.11;0.63;2.01;56.1;3.27;4.28
Kasper Schmeichel;GK;Leicester City;3420;0;0;0;0;0;0;0;0;0.03;50;0;0
Jonathan Schmid;FB;Freiburg;2393;0.08;0.05;0.06;0.83;46.8;1.62;0.08;1.39;0.75;58.8;0.94;3.53
Romano Schmid;AM;Werder Bremen;1177;0;0.05;0.03;0.53;22.6;1.15;0.08;1.07;1.3;58.6;2.44;5.8
Benno Schmitz;FB;Köln;416;0;0.07;0.07;1.3;42.9;1.3;0.09;0.65;0;0;0.65;6.52
Morgan Schneiderlin;CM;Nice;2197;0;0.03;0.06;1.72;60;0.74;0.05;0.37;0.45;73.3;0.25;5
Alessandro Schöpf;W;Schalke 04;942;0;0.04;0.04;0.67;31.8;2.29;0.04;0.29;1.81;55.9;3.05;6
Jerdy Schouten;CM;Bologna;2512;0.04;0.01;0.03;1.51;53.2;0.14;0.1;0.43;1.4;60;1.15;4.7
Nico Schulz;FB;Dortmund;610;0;0.01;0.06;0.88;54.5;2.06;0.04;0.88;0;0;0.88;4.85
Alexander Schwolow;GK;Hertha BSC;2340;0;0;0;0;0;0;0;0;0.04;100;0;0.08
Christopher Scott;AM;Bayern Munich;34;0;0;0.03;0;0;0;0;0;2.5;100;2.5;5
Matteo Scozzarella;CM;Parma;153;0;0;0;0;0;0;0.18;0;0;0;1.18;2.94
Simone Scuffet;GK;Udinese;90;0;0;0;0;0;0;0;0;0;0;0;0
Jacopo Segre;CM;Torino;191;0;0.19;0.11;0.95;40;2.38;0;0;1.43;50;1.43;5.24
Davie Selke;FW;Werder Bremen;813;0.33;0.31;0.12;7.67;48.9;6.44;0.08;0.44;0.44;36.4;2.33;5.33
Malik Sellouki;AM;Nice;66;1.43;0.43;0.06;0;0;4.29;0;0;4.29;42.9;2.86;7.14
Matz Sels;GK;Strasbourg;540;0;0;0;0;0;0;0;0.17;0;0;0;0
Nélson Semedo;FB;Wolves;2983;0.03;0.06;0.08;1.3;50.6;1.51;0.03;0.73;1.72;62.6;1.15;4.95
Léo Sena;CM;Spezia;885;0;0.01;0.04;0.61;33.3;0.31;0.01;0.51;2.24;78.6;1.22;5.51
Stefano Sensi;CM;Inter;603;0;0.16;0.06;0.15;25;2.84;0.15;1.79;1.49;58.8;1.34;4.48
Jaime Seoane;CM;Huesca;2064;0.04;0.06;0.05;1.31;57.7;1.57;0.05;0.48;0.83;50;1.05;5.76
Luigi Sepe;GK;Parma;3240;0;0;0;0;0;0;0;0;0.06;100;0;0
Suat Serdar;CM;Schalke 04;1953;0.05;0.1;0.07;0.83;41.9;2.07;0.07;0.46;1.66;60;2.67;5.21
Jean Seri;CM;Bordeaux;707;0;0.01;0.03;1.14;47.4;0.63;0.06;0.51;1.01;80;1.14;6.71
Femi Seriki;FB;Sheffield Utd;1;0;0;0;0;0;0;0;0;0;0;0;0
Ryan Sessegnon;FB;Hoffenheim;1574;0.11;0.03;0.11;0.86;38.5;1.89;0.1;1.37;0.8;43.8;1.26;5.54
Nils Seufert;CM;Arminia;343;0;0;0.04;1.05;57.1;1.58;0.08;0.26;1.05;80;1.84;5.26
Edgar Sevikyan;W;Levante;8;0;0;0;0;0;0;0;0;10;100;0;0
Stephan El Shaarawy;W;Roma;572;0.16;0.2;0.08;0.31;20;6.88;0.23;0.94;1.41;50;0.94;2.03
Jamie Shackleton;CM;Leeds United;461;0;0;0;0.78;40;1.76;0.06;0.39;0.2;33.3;0.59;3.53
Xherdan Shaqiri;W;Liverpool;556;0;0.06;0.04;0.48;30;2.58;0.48;4.19;0.97;100;1.94;5.32
Billy Sharp;FW;Sheffield Utd;735;0.37;0.15;0.17;1.59;26.5;5;0.07;0.37;0.85;70;2.68;4.15
Luke Shaw;FB;Manchester Utd;2654;0.03;0.02;0.06;1.15;48.6;2.07;0.18;1.56;1.29;63.3;1.02;4.68
Jonjo Shelvey;CM;Newcastle Utd;2617;0.03;0.09;0.06;1.13;55;0.79;0.09;0.79;0.79;79.3;0.41;2.61
Eldor Shomurodov;FW;Genoa;1677;0.43;0.27;0.13;3.23;34.9;4.35;0.11;0.54;0.91;41.5;1.94;5.86
Shola Shoretire;W;Manchester Utd;11;0;0;0;10;50;0;0;0;0;0;0;30
Mahame Siby;CM;Strasbourg;21;0;0;0;0;0;0;0;0;0;0;0;0
Abdoulaye Sidibé;W;Saint-Étienne;11;0;0;0;10;25;0;0;0;0;0;0;20
Djibril Sidibé;FB;Monaco;1980;0;0;0.04;1.36;57.7;0.27;0.11;1.23;0.45;62.5;0.55;4.23
Sidnei;CB;Betis;697;0;0.03;0.17;2.47;48.7;0.39;0;0.13;0;0;0.26;2.08
Kaj Sierhuis;FW;Reims;652;0;0.15;0.09;1.81;46.4;5.14;0.08;0.69;1.39;71.4;1.94;4.58
Tim Siersleben;CB;Wolfsburg;34;0;0.25;0.06;5;66.7;2.5;0;0;0;0;0;0
Gylfi Sigurðsson;AM;Everton;2253;0.24;0.15;0.08;0.32;40;1.96;0.19;0.88;0.6;57.7;1.44;4.56
Luca Siligardi;W;Crotone;49;0;0.2;0.03;0;0;2;0;2;0;0;2;10
Luca Siligardi;W;Parma;34;0;0;0;0;0;7.5;0;0;0;0;2.5;2.5
Adrien Silva;CM;Sampdoria;1599;0.06;0.02;0.06;0.56;33.3;0.39;0.05;0.45;0.56;66.7;1.01;7.98
André Silva;FW;Eintracht Frankfurt;2760;0.91;0.62;0.18;2.57;38.7;6.58;0.18;0.55;0.98;51.7;1.89;3.32
Bernardo Silva;AM;Manchester City;2065;0.09;0.12;0.1;0.44;25.6;4.41;0.16;1.4;1.79;70.7;1.22;4.85
Caio Henrique Oliveira Silva;FB;Monaco;2368;0;0.02;0.11;0.76;40.8;1.94;0.12;1.67;0.65;63;0.46;4.07
